eg_id|question|query_example
133|Categories most purchased by Platinum loyalty customers during Christmas.|MATCH (c:Customer {loyaltyTier: 'Platinum'})<-[:orderedBy]-(o:Order {holiday: 'Christmas'})-[:includesOrderLine]->(:OrderLine)-[:refersToProduct]->(p:Product)-[:BELONGS_TO_CATEGORY]->(cat:Category) RETURN cat.categoryName, count(*) AS purchaseCount ORDER BY purchaseCount DESC
134|Top 5 customers by spending in Stockholm store in 2023.|MATCH (c:Customer)<-[:orderedBy]-(o:Order)-[:PLACED_AT]->(s:Store {storeName: 'Stockholm'}) WHERE o.orderDate >= date('2023-01-01') AND o.orderDate < date('2024-01-01') MATCH (o)-[:includesOrderLine]->(ol:OrderLine) RETURN c.name, sum(ol.totalAmount) AS totalSpent ORDER BY totalSpent DESC LIMIT 5
135|Products bought by Rural customers from Malmö store during Midsummer.|MATCH (c:Customer {location: 'Rural'})<-[:orderedBy]-(o:Order {holiday: 'Midsummer'})-[:PLACED_AT]->(s:Store {storeName: 'Malmö'}) MATCH (o)-[:includesOrderLine]->(:OrderLine)-[:refersToProduct]->(p:Product) RETURN DISTINCT p.productName
136|Number of orders placed at Örebro store by customers aged 18-24 in Autumn.|MATCH (c:Customer {ageGroup: '18-24'})<-[:orderedBy]-(o:Order {season: 'Autumn'})-[:PLACED_AT]->(s:Store {storeName: 'Örebro'}) RETURN count(DISTINCT o.orderId) AS orderCount
137|Find average order amount for customers in Suburban areas shopping at Uppsala store.|MATCH (c:Customer {location: 'Suburban'})<-[:orderedBy]-(o:Order)-[:PLACED_AT]->(s:Store {storeName: 'Uppsala'}) MATCH (o)-[:includesOrderLine]->(ol:OrderLine) RETURN avg(ol.totalAmount) AS avgOrderAmount
138|List customers who purchased Fashion-related products from Malmö store.|MATCH (c:Customer)<-[:orderedBy]-(o:Order)-[:PLACED_AT]->(s:Store {storeName: 'Malmö'}) MATCH (o)-[:includesOrderLine]->(:OrderLine)-[:refersToProduct]->(p:Product) WHERE 'Fashion' IN c.interests RETURN DISTINCT c.name
139|Top selling product categories in Gothenburg store during High traffic periods.|MATCH (o:Order {trafficPeriod: 'High'})-[:PLACED_AT]->(s:Store {storeName: 'Gothenburg'})-[:USES_PLANOGRAM]->() MATCH (o)-[:includesOrderLine]->(:OrderLine)-[:refersToProduct]->(p:Product)-[:BELONGS_TO_CATEGORY]->(cat:Category) RETURN cat.categoryName, count(*) AS totalSales ORDER BY totalSales DESC
140|Find customers who bought Weekday brand products during Easter.|MATCH (c:Customer)<-[:orderedBy]-(o:Order {holiday: 'Easter'})-[:includesOrderLine]->(:OrderLine)-[:refersToProduct]->(p:Product {brand: 'Weekday'}) RETURN DISTINCT c.name
141|What products were sold at Uppsala store in Spring 2023?|MATCH (s:Store {storeName: 'Uppsala'})<-[:PLACED_AT]-(o:Order {season: 'Spring'})-[:includesOrderLine]->(:OrderLine)-[:refersToProduct]->(p:Product) RETURN DISTINCT p.productName
142|Customers who bought Black colored products at Stockholm during Q4.|MATCH (c:Customer)<-[:orderedBy]-(o:Order)-[:PLACED_AT]->(s:Store {storeName: 'Stockholm'}) WHERE o.orderDate >= date('2023-10-01') AND o.orderDate < date('2024-01-01') MATCH (o)-[:includesOrderLine]->(:OrderLine)-[:refersToProduct]->(p:Product {color: 'Black'}) RETURN DISTINCT c.name
143|Total revenue generated by COS brand products at Gothenburg store.|MATCH (s:Store {storeName: 'Gothenburg'})<-[:PLACED_AT]-(o:Order)-[:includesOrderLine]->(ol:OrderLine)-[:refersToProduct]->(p:Product {brand: 'COS'}) RETURN sum(ol.totalAmount) AS totalRevenue
144|Products bought by customers in High Income segment at Örebro store.|MATCH (c:Customer {incomeLevel: 'High'})<-[:orderedBy]-(o:Order)-[:PLACED_AT]->(s:Store {storeName: 'Örebro'}) MATCH (o)-[:includesOrderLine]->(:OrderLine)-[:refersToProduct]->(p:Product) RETURN DISTINCT p.productName
145|Which categories were sold most to Teen customers during Christmas?|MATCH (c:Customer {lifeStage: 'Teen'})<-[:orderedBy]-(o:Order {holiday: 'Christmas'})-[:includesOrderLine]->(:OrderLine)-[:refersToProduct]->(p:Product)-[:BELONGS_TO_CATEGORY]->(cat:Category) RETURN cat.categoryName, count(*) AS soldCount ORDER BY soldCount DESC
146|Average quantity of OrderLines per order placed at Malmö store during Summer.|MATCH (s:Store {storeName: 'Malmö'})<-[:PLACED_AT]-(o:Order {season: 'Summer'})-[:includesOrderLine]->(ol:OrderLine) RETURN avg(ol.orderLineQuantity) AS avgQuantity
147|Customers who placed orders at Uppsala store during Low traffic periods.|MATCH (c:Customer)<-[:orderedBy]-(o:Order {trafficPeriod: 'Low'})-[:PLACED_AT]->(s:Store {storeName: 'Uppsala'}) RETURN DISTINCT c.name
148|Products purchased by customers with interests in Tech from Stockholm store.|MATCH (c:Customer) WHERE 'Tech' IN c.interests MATCH (c)<-[:orderedBy]-(o:Order)-[:PLACED_AT]->(s:Store {storeName: 'Stockholm'}) MATCH (o)-[:includesOrderLine]->(:OrderLine)-[:refersToProduct]->(p:Product) RETURN DISTINCT p.productName
149|Categories most purchased by customers aged 35-44 at Malmö store during Easter.|MATCH (c:Customer {ageGroup: '35-44'})<-[:orderedBy]-(o:Order {holiday: 'Easter'})-[:PLACED_AT]->(s:Store {storeName: 'Malmö'})-[:USES_PLANOGRAM]->() MATCH (o)-[:includesOrderLine]->(:OrderLine)-[:refersToProduct]->(p:Product)-[:BELONGS_TO_CATEGORY]->(cat:Category) RETURN cat.categoryName, count(*) AS purchaseCount ORDER BY purchaseCount DESC
150|Match customers who ordered the same product.|MATCH (c1:Customer)<-[:orderedBy]-(o1:Order)-[:includesOrderLine]->(:OrderLine)-[:refersToProduct]->(p:Product)<-[:refersToProduct]-(:OrderLine)<-[:includesOrderLine]-(o2:Order)-[:orderedBy]->(c2:Customer) WHERE c1 <> c2 RETURN DISTINCT c1.name, c2.name, p.productName
151|Find orders placed at the Uppsala store.|MATCH (o:Order)-[:PLACED_AT]->(s:Store {storeName: 'Uppsala'}) RETURN o.orderId, o.orderDate
152|Find orders placed during February 2023.|MATCH (o:Order) WHERE o.orderDate >= date('2023-02-01') AND o.orderDate <= date('2023-02-28') RETURN o.orderId
153|List products bought by a customer in February 2023 at Uppsala store.|MATCH (c:Customer)<-[:orderedBy]-(o:Order)-[:includesOrderLine]->(:OrderLine)-[:refersToProduct]->(p:Product), (o)-[:PLACED_AT]->(s:Store {storeName: 'Uppsala'}) WHERE o.orderDate >= date('2023-02-01') AND o.orderDate <= date('2023-02-28') RETURN DISTINCT p.productName
154|Find number of shared products between two customers.|MATCH (c1:Customer)<-[:orderedBy]-(o1:Order)-[:includesOrderLine]->(:OrderLine)-[:refersToProduct]->(p:Product)<-[:refersToProduct]-(:OrderLine)<-[:includesOrderLine]-(o2:Order)-[:orderedBy]->(c2:Customer) WHERE c1 <> c2 RETURN c1.name, c2.name, count(DISTINCT p) AS sharedProductCount
155|Collect products bought by a customer at Uppsala store in February 2023.|MATCH (c:Customer)<-[:orderedBy]-(o:Order)-[:includesOrderLine]->(:OrderLine)-[:refersToProduct]->(p:Product), (o)-[:PLACED_AT]->(s:Store {storeName: 'Uppsala'}) WHERE o.orderDate >= date('2023-02-01') AND o.orderDate <= date('2023-02-28') RETURN collect(DISTINCT p) AS productsBought
156|Calculate Jaccard similarity between two product sets.|WITH [1,2,3] AS set1, [2,3,4] AS set2 WITH apoc.coll.intersection(set1, set2) AS common, apoc.coll.union(set1, set2) AS total RETURN toFloat(size(common)) / size(total) AS jaccardSimilarity
157|Match two customers who bought at least two same products at Uppsala in Feb 2023.|MATCH (o1:Order)-[:orderedBy]->(c1:Customer), (o2:Order)-[:orderedBy]->(c2:Customer), (o1)-[:includesOrderLine]->(:OrderLine)-[:refersToProduct]->(p:Product), (o2)-[:includesOrderLine]->(:OrderLine)-[:refersToProduct]->(p), (o1)-[:PLACED_AT]->(s1:Store), (o2)-[:PLACED_AT]->(s2:Store) WHERE c1 <> c2 AND s1.storeName = 'Uppsala' AND s2.storeName = 'Uppsala' AND o1.orderDate >= date('2023-02-01') AND o1.orderDate <= date('2023-02-28') AND o2.orderDate >= date('2023-02-01') AND o2.orderDate <= date('2023-02-28') WITH c1, c2, count(DISTINCT p) AS sharedProducts WHERE sharedProducts > 1 RETURN c1.name, c2.name, sharedProducts
158|Return a sample shared product between two customers.|MATCH (c1:Customer)<-[:orderedBy]-(o1:Order)-[:includesOrderLine]->(:OrderLine)-[:refersToProduct]->(p:Product)<-[:refersToProduct]-(:OrderLine)<-[:includesOrderLine]-(o2:Order)-[:orderedBy]->(c2:Customer) WHERE c1 <> c2 RETURN c1.name, c2.name, head(collect(DISTINCT p.productName)) AS exampleSharedProduct
160|Find products that are frequently co-purchased with a given product.|MATCH (p:Product {productId: 'P123'})-[r:CO_PURCHASED_WITH]-(co:Product) RETURN co.productName, r.weight ORDER BY r.weight DESC
161|List all products and their co-purchased products with number of times co-purchased.|MATCH (p:Product)-[r:CO_PURCHASED_WITH]-(co:Product) RETURN p.productName, collect(co.productName) AS coProducts, collect(r.weight) AS weights
162|Get top 5 products with the highest PageRank score.|CALL gds.pageRank.stream('product-copurchase-graph') YIELD nodeId, score WITH gds.util.asNode(nodeId) AS p, score RETURN p.productName, round(score, 3) AS pageRankScore ORDER BY pageRankScore DESC LIMIT 5
163|Find co-purchased products for all products along with their PageRank scores.|CALL gds.pageRank.stream('product-copurchase-graph') YIELD nodeId, score WITH gds.util.asNode(nodeId) AS p, score OPTIONAL MATCH (p)-[r:CO_PURCHASED_WITH]-(co:Product) RETURN p.productName, round(score, 3) AS pageRankScore, collect(co.productName) AS coProducts
164|Find products that have more than 3 co-purchase relationships.|MATCH (p:Product)-[r:CO_PURCHASED_WITH]-(co:Product) WITH p, count(co) AS coCount WHERE coCount > 3 RETURN p.productName, coCount ORDER BY coCount DESC
165|Products with highest number of distinct co-purchases.|MATCH (p:Product)-[r:CO_PURCHASED_WITH]->(co:Product) WITH p, count(DISTINCT co) AS distinctCoPurchases RETURN p.productName, distinctCoPurchases ORDER BY distinctCoPurchases DESC LIMIT 10
166|Which products are hubs (connected to many other products)?|MATCH (p:Product)-[r:CO_PURCHASED_WITH]-(co:Product) WITH p, count(co) AS degree WHERE degree > 5 RETURN p.productName, degree ORDER BY degree DESC
167|Find products with PageRank score greater than 0.1.|CALL gds.pageRank.stream('product-copurchase-graph') YIELD nodeId, score WITH gds.util.asNode(nodeId) AS p, score WHERE score > 0.1 RETURN p.productName, round(score, 3) AS pageRankScore ORDER BY pageRankScore DESC
168|For a given product, find its top 3 most frequently co-purchased products.|MATCH (p:Product {productId: 'P456'})-[r:CO_PURCHASED_WITH]-(co:Product) RETURN co.productName, r.weight ORDER BY r.weight DESC LIMIT 3
169|Get all products with their co-purchase partners and PageRank scores for recommendation.|CALL gds.pageRank.stream('product-copurchase-graph') YIELD nodeId, score WITH gds.util.asNode(nodeId) AS p, score OPTIONAL MATCH (p)-[r:CO_PURCHASED_WITH]-(co:Product) RETURN p.productName, round(score, 3) AS pageRankScore, collect(co.productName) AS recommendedTogether
170|Find top 5 categories by total units sold at Stockholm store.|MATCH (c:Category)<-[:BELONGS_TO_CATEGORY]-(p:Product)<-[:refersToProduct]-(:OrderLine)<-[:includesOrderLine]-(o:Order)-[:PLACED_AT]->(s:Store {storeName: 'Stockholm'}) RETURN c.categoryName, sum(o.includesOrderLine.orderLineQuantity) AS totalUnits ORDER BY totalUnits DESC LIMIT 5
171|List bottom 5 products by total units sold at Malmö store.|MATCH (p:Product)<-[:refersToProduct]-(:OrderLine)<-[:includesOrderLine]-(o:Order)-[:PLACED_AT]->(s:Store {storeName: 'Malmö'}) RETURN p.productName, sum(o.includesOrderLine.orderLineQuantity) AS totalUnits ORDER BY totalUnits ASC LIMIT 5
172|Find total units sold per category at Uppsala store during Summer season.|MATCH (c:Category)<-[:BELONGS_TO_CATEGORY]-(p:Product)<-[:refersToProduct]-(:OrderLine)<-[:includesOrderLine]-(o:Order {season: 'Summer'})-[:PLACED_AT]->(s:Store {storeName: 'Uppsala'}) RETURN c.categoryName, sum(o.includesOrderLine.orderLineQuantity) AS totalUnits ORDER BY totalUnits DESC
173|Products with the highest order quantities sold during Winter at Gothenburg.|MATCH (p:Product)<-[:refersToProduct]-(:OrderLine)<-[:includesOrderLine]-(o:Order {season: 'Winter'})-[:PLACED_AT]->(s:Store {storeName: 'Gothenburg'}) RETURN p.productName, sum(o.includesOrderLine.orderLineQuantity) AS totalUnits ORDER BY totalUnits DESC LIMIT 10
174|Find total units sold for each category across all stores.|MATCH (c:Category)<-[:BELONGS_TO_CATEGORY]-(p:Product)<-[:refersToProduct]-(:OrderLine)<-[:includesOrderLine]-(o:Order)-[:PLACED_AT]->(s:Store) RETURN c.categoryName, sum(o.includesOrderLine.orderLineQuantity) AS totalUnits ORDER BY totalUnits DESC
175|Top 3 products with the least units sold at Uppsala store in Autumn.|MATCH (p:Product)<-[:refersToProduct]-(:OrderLine)<-[:includesOrderLine]-(o:Order {season: 'Autumn'})-[:PLACED_AT]->(s:Store {storeName: 'Uppsala'}) RETURN p.productName, sum(o.includesOrderLine.orderLineQuantity) AS totalUnits ORDER BY totalUnits ASC LIMIT 3
176|Category with the lowest unit sales at Örebro store in February 2023.|MATCH (c:Category)<-[:BELONGS_TO_CATEGORY]-(p:Product)<-[:refersToProduct]-(:OrderLine)<-[:includesOrderLine]-(o:Order)-[:PLACED_AT]->(s:Store {storeName: 'Örebro'}) WHERE o.orderDate >= date('2023-02-01') AND o.orderDate <= date('2023-02-28') RETURN c.categoryName, sum(o.includesOrderLine.orderLineQuantity) AS totalUnits ORDER BY totalUnits ASC LIMIT 1
177|Find top 5 products by quantity sold across Stockholm and Malmö stores during Christmas.|MATCH (p:Product)<-[:refersToProduct]-(:OrderLine)<-[:includesOrderLine]-(o:Order {holiday: 'Christmas'})-[:PLACED_AT]->(s:Store) WHERE s.storeName IN ['Stockholm', 'Malmö'] RETURN p.productName, sum(o.includesOrderLine.orderLineQuantity) AS totalUnits ORDER BY totalUnits DESC LIMIT 5
178|What are the top selling categories at Malmö store by quantity?|MATCH (c:Category)<-[:BELONGS_TO_CATEGORY]-(p:Product)<-[:refersToProduct]-(:OrderLine)<-[:includesOrderLine]-(o:Order)-[:PLACED_AT]->(s:Store {storeName: 'Malmö'}) RETURN c.categoryName, sum(o.includesOrderLine.orderLineQuantity) AS totalUnits ORDER BY totalUnits DESC
179|Products that have zero unit sales at Gothenburg store in 2023.|MATCH (p:Product)<-[:refersToProduct]-(ol:OrderLine)<-[:includesOrderLine]-(o:Order)-[:PLACED_AT]->(s:Store {storeName: 'Gothenburg'}) WHERE o.orderDate >= date('2023-01-01') AND o.orderDate < date('2024-01-01') WITH p.productName AS productName, sum(ol.orderLineQuantity) AS totalUnits WHERE totalUnits = 0 RETURN productName
180|Find forecasted quantities for COS brand products.|MATCH (p:Product {brand: 'COS'})<-[:FORECASTS_PRODUCT]-(f:Forecast) RETURN p.productName, f.forecastQty
181|Products where actual sales exceeded forecast by more than 20%.|MATCH (f:Forecast)-[:FORECASTS_PRODUCT]->(p:Product)<-[:refersToProduct]-(:OrderLine)<-[:includesOrderLine]-(o:Order) WITH p, sum(o.includesOrderLine.orderLineQuantity) AS actualSales, avg(f.forecastQty) AS forecasted WHERE actualSales > 1.2 * forecasted RETURN p.productName, actualSales, forecasted
182|Products where forecasted quantity was much higher than actual sales.|MATCH (f:Forecast)-[:FORECASTS_PRODUCT]->(p:Product)<-[:refersToProduct]-(:OrderLine)<-[:includesOrderLine]-(o:Order) WITH p, sum(o.includesOrderLine.orderLineQuantity) AS actualSales, avg(f.forecastQty) AS forecasted WHERE actualSales < 0.8 * forecasted RETURN p.productName, actualSales, forecasted
183|Top 5 products with the largest positive variance in forecasts.|MATCH (f:Forecast)-[:FORECASTS_PRODUCT]->(p:Product) RETURN p.productName, f.variance ORDER BY f.variance DESC LIMIT 5
184|List forecasted quantities by category for Summer season products.|MATCH (f:Forecast)-[:FORECASTS_PRODUCT]->(p:Product)-[:BELONGS_TO_CATEGORY]->(c:Category) WHERE f.forecastQty > 0 RETURN c.categoryName, sum(f.forecastQty) AS totalForecasted ORDER BY totalForecasted DESC
185|Forecast vs Actuals: compare forecasted vs sold units per category.|MATCH (c:Category)<-[:BELONGS_TO_CATEGORY]-(p:Product)<-[:FORECASTS_PRODUCT]-(f:Forecast) OPTIONAL MATCH (p)<-[:refersToProduct]-(:OrderLine)<-[:includesOrderLine]-(o:Order) WITH c, sum(f.forecastQty) AS forecastedUnits, sum(o.includesOrderLine.orderLineQuantity) AS actualUnits RETURN c.categoryName, forecastedUnits, actualUnits
186|Find forecasted quantities for Red color products sold at Stockholm.|MATCH (p:Product {color: 'Red'})<-[:FORECASTS_PRODUCT]-(f:Forecast), (p)<-[:refersToProduct]-(:OrderLine)<-[:includesOrderLine]-(o:Order)-[:PLACED_AT]->(s:Store {storeName: 'Stockholm'}) RETURN p.productName, sum(f.forecastQty) AS forecasted, sum(o.includesOrderLine.orderLineQuantity) AS actualSold
187|Forecasted quantity vs Actual quantity for each product at Malmö store.|MATCH (s:Store {storeName: 'Malmö'})<-[:PLACED_AT]-(o:Order)-[:includesOrderLine]->(ol:OrderLine)-[:refersToProduct]->(p:Product)<-[:FORECASTS_PRODUCT]-(f:Forecast) RETURN p.productName, sum(f.forecastQty) AS forecasted, sum(ol.orderLineQuantity) AS actualSold
188|Identify products that had forecasted quantities but zero sales.|MATCH (f:Forecast)-[:FORECASTS_PRODUCT]->(p:Product) OPTIONAL MATCH (p)<-[:refersToProduct]-(:OrderLine)<-[:includesOrderLine]-(o:Order) WITH p, f.forecastQty AS forecastQty, sum(o.includesOrderLine.orderLineQuantity) AS totalSold WHERE totalSold IS NULL OR totalSold = 0 RETURN p.productName, forecastQty
189|Forecast variance per category: which categories were most wrongly forecasted?|MATCH (f:Forecast)-[:FORECASTS_PRODUCT]->(p:Product)-[:BELONGS_TO_CATEGORY]->(c:Category) RETURN c.categoryName, avg(abs(f.variance)) AS avgVariance ORDER BY avgVariance DESC
190|Find forecasted quantities for COS brand products.|MATCH (p:Product {brand: 'COS'})<-[:FORECASTS_PRODUCT]-(f:Forecast) RETURN p.productName, f.forecastQty
191|Products where actual sales exceeded forecast by more than 20%.|MATCH (f:Forecast)-[:FORECASTS_PRODUCT]->(p:Product)<-[:refersToProduct]-(:OrderLine)<-[:includesOrderLine]-(o:Order) WITH p, sum(o.includesOrderLine.orderLineQuantity) AS actualSales, avg(f.forecastQty) AS forecasted WHERE actualSales > 1.2 * forecasted RETURN p.productName, actualSales, forecasted
192|Products where forecasted quantity was much higher than actual sales.|MATCH (f:Forecast)-[:FORECASTS_PRODUCT]->(p:Product)<-[:refersToProduct]-(:OrderLine)<-[:includesOrderLine]-(o:Order) WITH p, sum(o.includesOrderLine.orderLineQuantity) AS actualSales, avg(f.forecastQty) AS forecasted WHERE actualSales < 0.8 * forecasted RETURN p.productName, actualSales, forecasted
193|Top 5 products with the largest positive variance in forecasts.|MATCH (f:Forecast)-[:FORECASTS_PRODUCT]->(p:Product) RETURN p.productName, f.variance ORDER BY f.variance DESC LIMIT 5
194|List forecasted quantities by category for Summer season products.|MATCH (f:Forecast)-[:FORECASTS_PRODUCT]->(p:Product)-[:BELONGS_TO_CATEGORY]->(c:Category) WHERE f.forecastQty > 0 RETURN c.categoryName, sum(f.forecastQty) AS totalForecasted ORDER BY totalForecasted DESC
195|Forecast vs Actuals: compare forecasted vs sold units per category.|MATCH (c:Category)<-[:BELONGS_TO_CATEGORY]-(p:Product)<-[:FORECASTS_PRODUCT]-(f:Forecast) OPTIONAL MATCH (p)<-[:refersToProduct]-(:OrderLine)<-[:includesOrderLine]-(o:Order) WITH c, sum(f.forecastQty) AS forecastedUnits, sum(o.includesOrderLine.orderLineQuantity) AS actualUnits RETURN c.categoryName, forecastedUnits, actualUnits
196|Find forecasted quantities for Red color products sold at Stockholm.|MATCH (p:Product {color: 'Red'})<-[:FORECASTS_PRODUCT]-(f:Forecast), (p)<-[:refersToProduct]-(:OrderLine)<-[:includesOrderLine]-(o:Order)-[:PLACED_AT]->(s:Store {storeName: 'Stockholm'}) RETURN p.productName, sum(f.forecastQty) AS forecasted, sum(o.includesOrderLine.orderLineQuantity) AS actualSold
197|Forecasted quantity vs Actual quantity for each product at Malmö store.|MATCH (s:Store {storeName: 'Malmö'})<-[:PLACED_AT]-(o:Order)-[:includesOrderLine]->(ol:OrderLine)-[:refersToProduct]->(p:Product)<-[:FORECASTS_PRODUCT]-(f:Forecast) RETURN p.productName, sum(f.forecastQty) AS forecasted, sum(ol.orderLineQuantity) AS actualSold
198|Identify products that had forecasted quantities but zero sales.|MATCH (f:Forecast)-[:FORECASTS_PRODUCT]->(p:Product) OPTIONAL MATCH (p)<-[:refersToProduct]-(:OrderLine)<-[:includesOrderLine]-(o:Order) WITH p, f.forecastQty AS forecastQty, sum(o.includesOrderLine.orderLineQuantity) AS totalSold WHERE totalSold IS NULL OR totalSold = 0 RETURN p.productName, forecastQty
199|Forecast variance per category: which categories were most wrongly forecasted?|MATCH (f:Forecast)-[:FORECASTS_PRODUCT]->(p:Product)-[:BELONGS_TO_CATEGORY]->(c:Category) RETURN c.categoryName, avg(abs(f.variance)) AS avgVariance ORDER BY avgVariance DESC
